seguidor_id,seguido_id,desde
user_1409,user_1337,2023-03-12
user_1409,user_5230,2023-08-01
user_4657,user_7374,2023-02-03
user_9935,user_6141,2022-07-23
user_9935,user_3579,2023-03-29
user_9935,user_8171,2023-04-28
user_9935,user_9768,2023-09-23
user_9935,user_7009,2023-03-21
user_1520,user_4154,2023-07-11
user_1520,user_2295,2023-04-26
user_1520,user_7639,2022-06-28
user_1520,user_5703,2023-12-02
user_1520,user_5570,2022-04-02
user_4811,user_8315,2022-06-25
user_4257,user_2639,2022-03-25
user_4257,user_4666,2022-07-16
user_7873,user_2142,2023-06-26
user_7873,user_8077,2022-05-19
user_5557,user_5806,2023-07-14
user_5557,user_7526,2023-05-21
user_7924,user_4043,2023-08-09
user_7924,user_7081,2023-10-27
user_4527,user_3477,2023-10-23
user_7224,user_6216,2023-06-03
user_7224,user_9336,2022-05-03
user_5333,user_4974,2023-08-05
user_5333,user_5872,2023-01-03
user_5333,user_4994,2023-02-17
user_9785,user_2932,2022-04-13
user_9785,user_5620,2022-07-01
user_5803,user_5861,2022-04-16
user_4150,user_6981,2023-12-10
user_4150,user_2289,2023-01-24
user_4150,user_8602,2022-08-11
user_4150,user_7918,2022-01-22
user_4150,user_1120,2023-02-22
user_4733,user_5736,2022-03-14
user_4733,user_9228,2023-10-26
user_4733,user_5817,2022-06-10
user_4733,user_2911,2023-06-28
user_4733,user_5447,2022-05-22
user_2654,user_1187,2023-03-01
user_2654,user_9262,2022-10-06
user_2654,user_8758,2022-05-30
user_2654,user_7268,2023-10-15
user_2654,user_6234,2023-03-06
user_6977,user_7951,2022-08-31
user_6977,user_4474,2023-09-29
user_6977,user_8746,2022-07-27
user_6977,user_7450,2022-01-16
user_4432,user_2735,2023-08-30
user_4432,user_5310,2022-10-24
user_3803,user_5128,2023-05-06
user_3677,user_2284,2022-06-12
user_4598,user_1860,2022-01-15
user_4598,user_3345,2023-01-27
user_4752,user_2709,2022-03-23
user_4752,user_7779,2022-02-02
user_4752,user_2576,2023-11-06
user_4752,user_1637,2023-08-04
user_7572,user_3991,2022-03-01
user_6155,user_5760,2023-09-14
user_6155,user_5153,2023-02-17
user_6155,user_4834,2022-08-30
user_6155,user_5015,2023-03-29
user_6155,user_5167,2023-01-13
user_7482,user_2271,2022-01-22
user_7482,user_4431,2023-09-13
user_7482,user_3202,2022-12-16
user_7482,user_6416,2022-02-07
user_7482,user_7043,2022-05-21
user_5339,user_7087,2023-09-23
user_9830,user_7607,2023-12-12
user_9830,user_7126,2023-03-04
user_8019,user_3239,2022-07-20
user_8019,user_2738,2023-10-15
user_8019,user_7014,2023-06-29
user_8019,user_2436,2022-04-24
user_4593,user_8455,2022-03-21
user_4593,user_7103,2023-03-29
user_2489,user_8755,2023-09-19
user_2489,user_2783,2023-01-16
user_2489,user_5230,2022-01-10
user_2489,user_6298,2023-03-28
user_3504,user_3551,2023-01-24
user_3504,user_6298,2022-05-22
user_3504,user_1525,2023-07-14
user_3504,user_4715,2023-10-11
user_2040,user_3444,2023-07-20
user_2040,user_7261,2022-12-24
user_2040,user_7011,2023-10-14
user_8668,user_1704,2022-08-30
user_1188,user_1232,2023-04-25
user_1188,user_4287,2023-01-16
user_1188,user_1286,2022-06-15
user_9797,user_7608,2023-06-08
user_9797,user_5213,2023-04-19
user_9797,user_1245,2023-03-31
user_2827,user_6051,2022-06-01
user_2827,user_1409,2023-05-15
user_2827,user_8451,2023-02-01
user_8433,user_6341,2022-02-10
user_8433,user_6395,2022-12-04
user_8433,user_9343,2022-07-24
user_8433,user_6467,2022-04-21
user_9201,user_2479,2023-04-25
user_9201,user_5425,2022-09-18
user_9201,user_3791,2023-05-24
user_9201,user_7371,2022-09-29
user_5889,user_2789,2022-05-12
user_4258,user_3625,2023-01-20
user_4258,user_5597,2022-03-10
user_4258,user_8795,2023-02-08
user_9837,user_6954,2023-12-28
user_6310,user_2480,2022-09-08
user_6310,user_6065,2023-03-09
user_6310,user_8916,2023-10-20
user_6310,user_1248,2023-11-12
user_6947,user_8141,2022-11-08
user_6947,user_8745,2022-07-07
user_6947,user_4670,2022-06-19
user_6947,user_2619,2022-12-27
user_4946,user_7745,2023-08-20
user_4946,user_3211,2023-01-26
user_4946,user_7907,2023-04-24
user_4946,user_7121,2022-12-06
user_8962,user_7241,2022-04-02
user_8962,user_1866,2022-07-25
user_3060,user_5277,2022-08-06
user_3060,user_1537,2023-02-28
user_3705,user_2913,2022-02-08
user_7932,user_6408,2022-09-16
user_7932,user_5518,2022-12-26
user_6107,user_3085,2023-09-15
user_8177,user_7007,2023-02-06
user_8177,user_1940,2023-08-26
user_5061,user_6017,2022-09-11
user_1344,user_2996,2022-10-02
user_1344,user_7267,2023-10-17
user_1344,user_2711,2023-10-03
user_1344,user_2254,2022-02-27
user_1344,user_4615,2023-03-24
user_4608,user_2074,2023-11-16
